"BIO1_Annual_Mean_Temperature","BIO10_Mean_Temperature_Warmest_Quarter","BIO11_Mean_Temperature_Coldest_Quarter","BIO12_Annual_Precipitation","BIO13_Precipitation_Wettest_Month","BIO14_Precipitation_Driest_Month","BIO15_Precipitation_Seasonality","BIO16_Precipitation_Wettest_Quarter","BIO17_Precipitation_Driest_Quarter","BIO18_Precipitation_Warmest_Quarter","BIO19_Precipitation_Coldest_Quarter","BIO2_Mean_Diurnal_Range","BIO3_Isothermality","BIO4_Temperature_Seasonality","BIO5_Max_Temperature_Warmest_Month","BIO6_Min_Temperature_Coldest_Month","BIO7_Temperature_Annual_Range","BIO8_Mean_Temperature_Wettest_Quarter","BIO9_Mean_Temperature_Driest_Quarter","Top_Rao","Cec_Rao","Clay_Rao","Land_use","Land_system_names","N_Rao","pH_Rao","Sand_Rao","Silt_Rao","Soc_Rao","Hyd_feat_Sha","Landform_sha","lat","lon","TWI_Rao","C.hull","F.eDep","F.eRDC","F.rich","F.disp","F.div","F.eve","F.dist","F.nMST","F.rao","Sp.rich"
5.40361309051514,15.5907230377197,-4.55000019073486,801.412414550781,86.6806945800781,38.6750869750977,24.5495948791504,259.325744628906,130.629547119141,259.325744628906,176.207336425781,6.30000019073486,22.0548057556152,784.787231445312,20.6485843658447,-7.97089862823486,28.6194820404053,15.5907230377197,-0.343603521585464,0.505599975585938,7.4411997795105,9.5172004699707,"41","low-intensity forest",3.03600001335144,0.708400011062622,6.8459997177124,8.57960033416748,8.26119995117188,0,0.995013773441315,3883465,5256284,1.29280006885529,28.4166278839111,0.570095181465149,0.818693816661835,0.275988817214966,3.79493594169617,0.813171803951263,0.657471776008606,2.75596952438354,0.745120406150818,4.55955648422241,1.85231637954712
6.65000009536743,16.75,-3.25,713.277893066406,84.134765625,37.7702865600586,24.2580146789551,236.433792114258,121.361587524414,236.433792114258,147.752014160156,6.90000009536743,23.7052364349365,779.974609375,22.161937713623,-6.75,28.911937713623,16.75,1.04999995231628,0.456799983978271,7.1023998260498,3.98399996757507,"43","high-intensity forest",3.93040013313293,1.13960003852844,10.1155996322632,12.1991996765137,10.4827995300293,0.00569770578294992,0.152666315436363,3780465,5241284,2.26800012588501,52.1201972961426,0.417109787464142,0.653836309909821,0.536674797534943,3.47699761390686,0.741973102092743,0.700924754142761,3.27631163597107,0.723928332328796,4.78671598434448,2.81394195556641
6.75,16.805419921875,-3.15000009536743,691.25732421875,82.3035125732422,37.3390007019043,23.9246673583984,228.394454956055,119.13020324707,228.394454956055,143.019989013672,6.80000019073486,23.6001052856445,780.182006835938,22.2246589660645,-6.65000009536743,28.8746452331543,16.805419921875,1.14999997615814,0.433600008487701,11.4840002059937,4.80399990081787,"71","forest/shrubs and cropland mosaics",3.00839996337891,3.25999999046326,10.2572002410889,10.71399974823,17.2383995056152,0.000393933587474748,0.448913305997849,3767465,5240284,2.36800003051758,19.7651538848877,0.418074786663055,0.716234743595123,0.280944585800171,3.19597172737122,0.775237858295441,0.585151255130768,2.43468236923218,0.757071495056152,3.85752320289612,1.76807200908661
6.69331073760986,16.25,-2.54999995231628,700.628356933594,80.836311340332,35.4829330444336,26.5851707458496,228.074783325195,113.912635803223,228.074783325195,141.121871948242,6.80000019073486,24.7435703277588,735.688659667969,21.6064205169678,-5.84999990463257,27.4564304351807,16.25,1.14999997615814,0.379599988460541,9.15480041503906,4.4488000869751,"12","wetland",2.80480003356934,2.73079991340637,9.71319961547852,7.84479999542236,11.0475997924805,0.232653424143791,0,3757465,5100284,2.96079993247986,48.8044128417969,0.273253709077835,0.522203862667084,0.465007811784744,3.63498473167419,0.840066969394684,0.726610660552979,2.72942733764648,0.740174233913422,4.8346004486084,3.07628226280212
6.94999980926514,16.9500007629395,-2.95000004768372,660.132629394531,82.6335754394531,36.2305221557617,25.3762454986572,223.121383666992,113.985855102539,223.121383666992,130.894012451172,6.80000019073486,23.6134166717529,778.952026367188,22.3500003814697,-6.34999990463257,28.7000007629395,16.9500007629395,1.32382810115814,0,7.66359996795654,7.75159978866577,"43","high-intensity forest",6.58839988708496,0.625199973583221,15.1667995452881,12.7172002792358,6.3548002243042,0.00620397739112377,0.0104965092614293,3739465,5232284,2.15840005874634,36.7964668273926,0.544676721096039,0.757219851016998,0.331243425607681,3.10527586936951,0.707443118095398,0.475805819034576,3.14296913146973,0.726451694965363,3.53531408309937,1.60804057121277
6.94999980926514,16.9500007629395,-2.95000004768372,657.400329589844,82.6303329467773,35.9429626464844,25.5084285736084,222.560470581055,113.46452331543,222.560470581055,129.887649536133,6.80000019073486,23.6952152252197,777.937622070312,22.3500003814697,-6.34999990463257,28.7000007629395,16.9500007629395,1.32194828987122,0.2567999958992,7.05679988861084,13.9856004714966,"43","high-intensity forest",4.25479984283447,1.08399999141693,11.871600151062,9.57520008087158,10.0176000595093,0.163820073008537,0.220995262265205,3738465,5231284,2.56520009040833,70.7839660644531,0.378379374742508,0.699675559997559,0.530891716480255,3.55031776428223,0.729377031326294,0.700109004974365,3.16464304924011,0.716333210468292,4.64061403274536,2.73634457588196
6.25,16.5267086029053,-3.88478994369507,676.757873535156,85.9919586181641,36.352970123291,27.8451995849609,236.20263671875,113.16837310791,236.20263671875,130.729629516602,6.30000019073486,21.840259552002,798.157348632812,21.5860347747803,-7.2803955078125,28.8664398193359,16.5267086029053,0.550000011920929,0.710399985313416,13.3928003311157,4.49959993362427,"43","high-intensity forest",3.22040009498596,1.11000001430511,9.59519958496094,10.7592000961304,7.13360023498535,0.17913992702961,1.35147285461426,3732465,5328284,2.63800001144409,65.1596908569336,0.453104197978973,0.729508757591248,0.568516969680786,3.23323178291321,0.81440269947052,0.74079418182373,3.43203186988831,0.701016664505005,3.86031031608582,1.9957822561264
6.55881357192993,16.795726776123,-3.65000009536743,661.682006835938,79.1567077636719,36.1024856567383,25.7952480316162,226.141021728516,112.085342407227,226.141021728516,133.22331237793,6.39738273620605,21.9973831176758,799.456359863281,21.931640625,-7.02106952667236,28.9527225494385,16.795726776123,0.869213879108429,0.894800007343292,9.44598960876465,8.70785713195801,"42","medium-intensity forest",6.45763206481934,1.8583596944809,9.3205738067627,8.27348041534424,12.1622495651245,0.169241964817047,1.73750555515289,3730465,5308284,3.50559997558594,62.0215225219727,0.377123266458511,0.742223262786865,0.522978544235229,3.2107253074646,0.847328782081604,0.641606211662292,3.11998009681702,0.72368711233139,4.05989503860474,2.32255601882935
6.65000009536743,16.75,-3.34999990463257,736.924194335938,85.3892440795898,41.6454124450684,23.6000003814697,246.445190429688,128.212066650391,246.445190429688,153.960723876953,6.68558263778687,23.1356296539307,784.315185546875,22.0499992370605,-6.75,28.7999992370605,16.75,1.04999995231628,0.311599999666214,11.9419994354248,11.2911996841431,"42","medium-intensity forest",4.50719976425171,0.494800001382828,16.4404010772705,15.0687999725342,6.58080005645752,0,0.384949028491974,3722465,5269284,2.18560004234314,32.4300422668457,0.523470520973206,0.810831367969513,0.35061115026474,3.26386260986328,0.921382784843445,0.62202662229538,2.99694013595581,0.734548270702362,3.91833710670471,1.87966668605804
6.65000009536743,16.7858638763428,-3.34999990463257,735.778442382812,85.3692016601562,41.5788269042969,23.6000003814697,246.117233276367,128.002975463867,246.117233276367,153.766998291016,6.6847128868103,23.1037540435791,785.727111816406,22.0658931732178,-6.75,28.815881729126,16.7858638763428,1.04999995231628,0.500400006771088,14.618800163269,11.2047996520996,"42","medium-intensity forest",6.36359977722168,1.1923999786377,17.6611995697021,12.4483995437622,14.7603998184204,0.179686054587364,0.961286187171936,3721465,5270284,2.34759998321533,63.7714996337891,0.47770744562149,0.771364152431488,0.535808801651001,3.21104526519775,0.698254883289337,0.605439841747284,3.41183376312256,0.716495215892792,3.75464200973511,1.81503248214722
